time_register,email,student_name,student_id,dob,gender,cccd,phone_number,student_email,faculty,major,class,year,gpa,address,distance,priority_reasons,evidence_images,note
29/01/2026 15:05:52,lethidieu1@gmail.com,Lê Thị Diệu,2251164001,09/03/2006,Nữ,1205000001,0438885818,lethidieu1@sv.tlu.edu.vn,Ngôn ngữ học,Ngôn ngữ Anh,66NNA1,năm 4,3.31,Gia Lai,236,"Hộ nghèo cận nghèo, Vùng sâu vùng xa",https://drive.google.com/file/d/13-IM9rVojkmIMc7ATRCxvV4Gu-6TXf6M/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,phamvancuong2@gmail.com,Phạm Văn Cường,2251164002,01/11/2004,Nam,1205000002,0721678866,phamvancuong2@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 3,3.86,Lào Cai,63,"Hộ nghèo cận nghèo, Vùng sâu vùng xa",https://drive.google.com/file/d/1KvrdqGERJQxoPqYYWhMuv9eQ0i-BwjYL/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,vuthiphuong3@gmail.com,Vũ Thị Phương,2251164003,21/08/2003,Nữ,1205000003,0405168762,vuthiphuong3@sv.tlu.edu.vn,Cơ khí,Cơ khí chế tạo,65CK1,năm 2,3.61,Hưng Yên,525,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1DbTvCsyrN0Kk6TnWbOuuMKyiYEaBy-Ap/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,vuthiphuong4@gmail.com,Vũ Thị Phương,2251164004,18/05/2003,Nữ,1205000004,0999626994,vuthiphuong4@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 4,3.9,Gia Lai,257,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1m_G-BBAycJDRHLmkEPhXohue_e6VcGAp/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,phamvancuong5@gmail.com,Phạm Văn Cường,2251164005,31/05/2006,Nam,1205000005,0933834368,phamvancuong5@sv.tlu.edu.vn,Xây dựng,Công trình thủy,65CTT1,năm 2,3.39,Lào Cai,343,Vùng sâu vùng xa,https://drive.google.com/file/d/1fJwHU8c_Pgh7_NM08w4h9nNOcJi1OpwJ/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,lethidieu6@gmail.com,Lê Thị Diệu,2251164006,20/06/2006,Nữ,1205000006,0782612624,lethidieu6@sv.tlu.edu.vn,Công nghệ thông tin,Trí tuệ nhân tạo,64AI1,năm 2,3.7,Gia Lai,15,"Con thương binh, liệt sỹ",https://drive.google.com/file/d/1cM_9V3dIKoKFh3hNqbXpa5qmFfRIJh7m/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,ngothilan7@gmail.com,Ngô Thị Lan,2251164007,04/10/2004,Nữ,1205000007,0096000404,ngothilan7@sv.tlu.edu.vn,Công nghệ thông tin,Hệ thống thông tin,64HTTT2,năm 3,3.38,Thanh Hóa,575,"Hộ nghèo cận nghèo, Vùng sâu vùng xa",https://drive.google.com/file/d/1spIRNDIkvSY9pg--2h4ZyJjBv2-33bDK/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,phamvancuong8@gmail.com,Phạm Văn Cường,2251164008,01/05/2005,Nam,1205000008,0367037955,phamvancuong8@sv.tlu.edu.vn,Xây dựng,Kỹ thuật xây dựng,65XDD1,năm 2,3.85,Nghệ An,445,"Hộ nghèo cận nghèo, Vùng sâu vùng xa",https://drive.google.com/file/d/1pAje-OJ2P_87Hcn06NTq4TGEnFci6fIL/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,dangvankhanh9@gmail.com,Đặng Văn Khánh,2251164009,08/10/2005,Nam,1205000009,0551784021,dangvankhanh9@sv.tlu.edu.vn,Quản trị kinh doanh,Quản trị doanh nghiệp,65QTDN1,năm 4,3.76,Gia Lai,108,Vùng sâu vùng xa,https://drive.google.com/file/d/18hjl-TEwXjx1cnmDPrmPT5YqMqxev6yY/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
29/01/2026 15:05:52,dangvankhanh10@gmail.com,Đặng Văn Khánh,2251164010,05/09/2004,Nam,1205000010,0429279451,dangvankhanh10@sv.tlu.edu.vn,Công nghệ thông tin,Hệ thống thông tin,64HTTT2,năm 2,3.64,Nghệ An,457,"Hộ nghèo cận nghèo, Vùng sâu vùng xa",https://drive.google.com/file/d/1zMAhuZ0dWRgfyuWjsd803-hbgIj-Hiau/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
