time_register,email,student_name,student_id,dob,gender,cccd,phone_number,student_email,faculty,major,class,year,gpa,address,distance,priority_reasons,evidence_images,note
08/02/2026,hoangvanlong1@gmail.com,Hoang Van Long,2251164001,30/11/2005,Nam,1205000001,0698376415,hoangvanlong1@sv.tlu.edu.vn,Kinh tế,Kinh tế xây dựng,65KTXD1,năm 1,02.07,Nam Định,455,Hộ nghèo cận nghèo,https://drive.google.com/file/d/1LOPJnTvVEiooLUkY2t0xzpXM7uNshHGn/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,ngothilan2@gmail.com,Ngo Thi Lan,2251164002,12/05/2006,Nữ,1205000002,0826814371,ngothilan2@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 3,3.12,Gia Lai,481,Hộ nghèo cận nghèo,https://drive.google.com/file/d/14UmZ5bf7yHxagPh95xrmt9Msz9Qn4Moh/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh3@gmail.com,Dang Van Khanh,2251164003,07/10/2004,Nam,1205000003,0129352752,dangvankhanh3@sv.tlu.edu.vn,Công nghệ thông tin,Kỹ thuật phần mềm,64KTPM1,năm 1,2.77,Hà Nội,490,Vùng sâu vùng xa,https://drive.google.com/file/d/1pKcHnfErQAh8guItwSADqr1eDJ8EjrrF/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,phamvancuong4@gmail.com,Pham Van Cuong,2251164004,07/08/2005,Nam,1205000004,0816460082,phamvancuong4@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 1,2.71,Hưng Yên,365,Vùng sâu vùng xa,https://drive.google.com/file/d/1PM4B4Qoqaj-A8fX2fjft4e4C-1h2qaVq/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,buithihanh5@gmail.com,Bui Thi Hanh,2251164005,13/04/2005,Nữ,1205000005,0070625423,buithihanh5@sv.tlu.edu.vn,Kinh tế,Kinh tế xây dựng,65KTXD1,năm 1,3.16,Hưng Yên,358,,https://drive.google.com/file/d/1RCEPy46Wkc0EvzVEEcEPABKAXXIFbh2P/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dothimai6@gmail.com,Do Thi Mai,2251164006,04/06/2005,Nữ,1205000006,0369398916,dothimai6@sv.tlu.edu.vn,Công nghệ thông tin,Mạng máy tính,64MMT1,năm 1,3.44,Nam Định,434,,https://drive.google.com/file/d/1z-c5Ak-qH0ujm8hkYl7wDQJSzJoXxebl/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh7@gmail.com,Dang Van Khanh,2251164007,30/10/2003,Nam,1205000007,0691738773,dangvankhanh7@sv.tlu.edu.vn,Công nghệ thông tin,Khoa học máy tính,64CNTT1,năm 3,3.64,Thanh Hóa,375,Vùng sâu vùng xa,https://drive.google.com/file/d/1rVR6GH_6EfSXS_P9xZVrv_Bam22jvpxY/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,dangvankhanh8@gmail.com,Dang Van Khanh,2251164008,17/02/2005,Nam,1205000008,0185790146,dangvankhanh8@sv.tlu.edu.vn,Kinh tế,Kinh tế xây dựng,65KTXD1,năm 1,3.22,Thanh Hóa,287,Vùng sâu vùng xa,https://drive.google.com/file/d/19mGQEIFJmWfV2VPO9y2Vysfn7xZglGtp/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,lethidieu9@gmail.com,Le Thi Dieu,2251164009,04/12/2005,Nữ,1205000009,0354960220,lethidieu9@sv.tlu.edu.vn,Công nghệ thông tin,Hệ thống thông tin,64HTTT2,năm 1,2.50,Lào Cai,350,,https://drive.google.com/file/d/1vIqSIKe6PdtCpUa-tdeU_crlbq4i58WY/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh10@gmail.com,Tran Van Binh,2251164010,23/03/2003,Nam,1205000010,0957126070,tranvanbinh10@sv.tlu.edu.vn,Điện – Điện tử,Kỹ thuật điện,65D1,năm 3,2.88,Lào Cai,177,Vùng sâu vùng xa,https://drive.google.com/file/d/1TNrGGkbmWclglsYju7TdCM_tkxcmrhld/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
08/02/2026,tranvanbinh11@gmail.com,Tran Van Binh,2251164011,25/02/2003,Nam,1205000011,0667602276,tranvanbinh11@sv.tlu.edu.vn,Kinh tế,Kế toán,65KT1,năm 1,2.61,Lào Cai,512,Vùng sâu vùng xa,https://drive.google.com/file/d/1Tbu9KR87qRdI3uuTu0-Js_lknXg1QQaY/view?usp=drivesdk,Tôi cam kết các thông tin trên là đúng sự thật
